open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719792000000,62766.1,62809.5,62562.0,62621.9,3007.979,1719792899999,188565586.0067,38061,1147.625,71952050.9789,0
1719792900000,62621.9,62744.0,62611.2,62722.7,1352.395,1719793799999,84779094.2267,20181,854.17,53546546.8665,0
1719793800000,62722.7,62838.4,62677.8,62790.9,1229.347,1719794699999,77159966.7847,18875,754.762,47375302.5046,0
1719794700000,62790.8,62935.2,62786.7,62924.6,1567.08,1719795599999,98504449.4876,18641,756.141,47531989.6028,0
1719795600000,62924.7,63686.5,62881.3,63642.7,14972.02,1719796499999,948666979.1144,118625,9418.136,596740779.9682,0
1719796500000,63642.7,63650.0,63401.5,63475.3,4225.5,1719797399999,268250934.6543,47105,1881.008,119415704.9437,0
1719797400000,63475.4,63672.9,63462.1,63615.2,2377.464,1719798299999,151115596.1023,32224,1237.458,78653249.2143,0
1719798300000,63615.3,63730.0,63525.0,63631.9,3304.804,1719799199999,210265706.4264,34189,1871.609,119095064.6525,0
1719799200000,63631.9,63800.0,63147.9,63505.1,6456.764,1719800099999,410695655.2943,67561,2873.827,182905974.4374,0
1719800100000,63505.1,63603.6,63505.0,63560.4,1878.822,1719800999999,119384372.9783,28719,954.807,60670859.0696,0
1719801000000,63560.4,63591.7,63337.5,63380.7,3087.807,1719801899999,195899937.1119,37358,1111.158,70502656.9917,0
1719801900000,63380.8,63437.9,63266.5,63427.1,2021.118,1719802799999,128025347.1112,26892,1089.095,68992130.4412,0
1719802800000,63427.1,63510.0,63380.0,63439.0,1387.956,1719803699999,88060404.3603,19354,745.277,47285089.2408,0
1719803700000,63439.1,63481.5,63388.5,63442.2,1326.734,1719804599999,84164691.0208,16586,722.478,45833292.3451,0
1719804600000,63442.2,63456.0,63316.9,63357.6,940.364,1719805499999,59599242.1368,16167,386.599,24504295.3753,0
1719805500000,63357.6,63460.0,63357.6,63416.4,617.586,1719806399999,39165936.0517,10899,354.347,22473017.003,0
1719806400000,63416.5,63453.7,63346.6,63380.4,814.934,1719807299999,51662351.555,13623,395.808,25093121.5876,0
1719807300000,63380.5,63421.6,63320.0,63325.4,633.914,1719808199999,40167915.9484,11300,249.939,15838178.1154,0
1719808200000,63325.4,63347.0,63200.0,63211.6,1824.793,1719809099999,115438597.0978,20129,666.38,42155279.7219,0
1719809100000,63211.6,63299.7,63208.0,63262.9,981.005,1719809999999,62048471.1862,12690,612.124,38717709.6516,0
1719810000000,63263.0,63349.8,63243.6,63319.7,839.577,1719810899999,53158100.4417,11118,591.338,37440429.2019,0
1719810900000,63319.8,63414.0,63298.4,63379.7,1101.195,1719811799999,69782203.9228,12706,594.048,37642557.181,0
1719811800000,63379.7,63435.5,63355.0,63374.0,667.495,1719812699999,42314476.39,11212,348.936,22120570.6448,0
1719812700000,63374.0,63440.0,63371.6,63410.4,439.033,1719813599999,27835871.6498,8713,226.057,14332282.0474,0
