open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.7172E+12,3764.35,3770.91,3761.7,3763.56,11644.633,1.7172E+12,43865738.39,24787,5471.547,20612011.2,0,
1.7172E+12,3763.51,3763.51,3754.36,3762.03,11716.418,1.7172E+12,44024739.93,20379,5984.254,22485209.58,0,
1.7172E+12,3762.04,3769.18,3762.04,3765.93,7639.322,1.7172E+12,28769867.03,17062,4122.061,15523861.05,0,
1.7172E+12,3765.94,3767.78,3762.92,3766.49,8635.427,1.7172E+12,32515735.18,16873,3730.117,14045638.06,0,
1.7172E+12,3766.55,3778.81,3766.55,3774.14,25955.246,1.7172E+12,97939971.2,31575,15318.937,57807772.57,0,
1.7172E+12,3774.13,3775.37,3760.78,3768.8,11387.33,1.71721E+12,42899958.68,19183,4510.514,16993085.49,0,
1.71721E+12,3768.79,3768.79,3761.63,3766.31,4748.583,1.71721E+12,17876326.69,15086,2231.632,8400759.858,0,
1.71721E+12,3766.3,3769.59,3763.9,3769.16,8691.517,1.71721E+12,32735867.06,14373,4334.82,16329318.45,0,
1.71721E+12,3769.15,3776.5,3768.62,3770.82,6918.545,1.71721E+12,26101110.48,16425,4415.011,16656342.71,0,
1.71721E+12,3770.83,3774.42,3767.72,3773.45,7041.015,1.71721E+12,26554480.18,14333,4244.016,16007847.12,0,
1.71721E+12,3773.45,3782.6,3772.95,3776.49,8909.278,1.71721E+12,33657372.51,17409,5521.954,20861884.76,0,
1.71721E+12,3776.5,3780.78,3775.27,3779.59,5500.846,1.71721E+12,20783020.67,12075,3321.941,12551330.13,0,
1.71721E+12,3779.6,3784.93,3778.47,3781.32,9191.289,1.71721E+12,34761102.86,18652,5183.959,19607263.46,0,
1.71721E+12,3781.32,3782.13,3776.9,3778.66,10219.828,1.71721E+12,38621478.17,14826,4814.817,18196471.25,0,
1.71721E+12,3778.65,3783.72,3776.51,3782.9,12791.459,1.71721E+12,48359023.97,15736,6666.971,25206684.37,0,
1.71721E+12,3782.9,3784.99,3778.1,3781.01,8187.014,1.71721E+12,30961184.16,13302,4026.769,15229901.64,0,
1.71721E+12,3781.01,3783,3774.08,3776.33,7649.066,1.71722E+12,28890332.81,15441,3383.486,12779808.27,0,
1.71722E+12,3776.34,3778.56,3773.02,3778,5260.254,1.71722E+12,19861416.85,12744,2922.798,11036271.65,0,
1.71722E+12,3778,3784.45,3776.61,3781.14,8903.612,1.71722E+12,33673461.92,15585,5852.823,22136690.07,0,
1.71722E+12,3781.14,3788,3780.98,3786.79,15018.542,1.71722E+12,56850870.41,21221,8653.493,32757515.28,0,
1.71722E+12,3786.8,3788.53,3780.53,3788.53,10660.478,1.71722E+12,40340653.37,16802,4145.125,15687818.57,0,
1.71722E+12,3788.55,3790.58,3783.07,3783.07,7022.636,1.71722E+12,26597020.88,15174,3140.065,11892967.57,0,
1.71722E+12,3783.08,3794,3783.07,3793.67,20462.496,1.71722E+12,77549786.18,23727,11341.508,42986201.74,0,
1.71722E+12,3793.67,3796.86,3789.12,3792,15182.058,1.71722E+12,57586722.86,22460,7680.608,29136842.63,0,
1.71722E+12,3792,3794.82,3786.7,3790.37,6801.517,1.71722E+12,25779090.17,15584,2976.917,11283171.98,0,
1.71722E+12,3790.37,3791.15,3786.61,3790.45,5349.068,1.71722E+12,20267421.08,13919,2182.403,8269362.614,0,
1.71722E+12,3790.45,3793.98,3785.46,3789.99,8592.178,1.71722E+12,32554967.69,17329,3878.741,14697579.54,0,
1.71722E+12,3790,3793.18,3786,3791.74,20325.601,1.71723E+12,77039447.92,19088,11544.698,43761202.38,0,
1.71723E+12,3791.73,3793.78,3789.02,3789.4,12258.395,1.71723E+12,46477171.25,16790,6264.622,23753690.72,0,
1.71723E+12,3789.4,3789.53,3785.43,3786.87,5622.282,1.71723E+12,21292006.3,11981,2598.256,9839578.896,0,
1.71723E+12,3786.87,3786.87,3778.71,3779.89,11202.796,1.71723E+12,42373521.49,18736,3965.809,15000327.04,0,
1.71723E+12,3779.89,3782,3772.04,3775.61,12990.136,1.71723E+12,49072323.5,22349,5863.202,22149212.43,0,
1.71723E+12,3775.61,3780.51,3775.1,3778.7,14492.944,1.71723E+12,54753144.1,18747,8034.856,30354859.24,0,
1.71723E+12,3778.71,3782.67,3776.77,3780.15,7287.96,1.71723E+12,27552918.98,13889,4340.569,16410906.02,0,
1.71723E+12,3780.15,3793.38,3779.69,3790,16362.92,1.71723E+12,61955799.42,22444,10327.246,39109074.21,0,
1.71723E+12,3790,3805.81,3789.47,3802.21,33370.634,1.71723E+12,126682093.5,43748,20565.704,78084206.62,0,
1.71723E+12,3802.2,3812.81,3802.01,3802.77,41082.455,1.71723E+12,156429631.6,54511,20515.311,78123008.31,0,
1.71723E+12,3802.77,3802.77,3792.89,3793.93,20903.924,1.71723E+12,79376630.64,31413,8505.407,32297217.5,0,
1.71723E+12,3793.93,3799.04,3790.43,3797.74,9633.847,1.71724E+12,36559629.95,20611,5318.26,20183904.95,0,
1.71724E+12,3797.75,3797.75,3792.32,3795.65,4436.868,1.71724E+12,16836178.24,12592,2237.408,8490013.386,0,
1.71724E+12,3795.66,3798.44,3792.05,3795.66,7534.345,1.71724E+12,28596409.19,16330,2962.35,11242176.73,0,
1.71724E+12,3795.66,3797.15,3792.6,3793.58,3568.834,1.71724E+12,13543476.05,10470,1762.88,6690023.571,0,
1.71724E+12,3793.59,3795.62,3787.52,3788.38,9415.257,1.71724E+12,35687718.55,16393,2597.684,9847800.654,0,
1.71724E+12,3788.39,3790.95,3786.02,3788.33,8617.423,1.71724E+12,32639410.92,17085,3992.799,15123810.25,0,
1.71724E+12,3788.33,3792.94,3784,3792,9241.629,1.71724E+12,35004686,15029,5562.223,21070427.45,0,
