open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719792000000,0.3923,0.3926,0.3917,0.3918,1339679,1719792299999,525441.38,1692,625952,245506.8169,0
1719792300000,0.3918,0.3926,0.3915,0.3916,1258545,1719792599999,493604.0977,1551,666133,261281.0807,0
1719792600000,0.3915,0.3921,0.3913,0.3919,941505,1719792899999,368760.1647,1314,418371,163874.2362,0
1719792900000,0.392,0.3928,0.3917,0.3926,713669,1719793199999,280000.7228,1077,375903,147493.2309,0
1719793200000,0.3926,0.3942,0.3926,0.3935,1929025,1719793499999,759367.9874,2019,991675,390348.2989,0
1719793500000,0.3934,0.3936,0.3932,0.3932,407558,1719793799999,160351.1521,581,144289,56774.5218,0
1719793800000,0.3932,0.3937,0.3926,0.3937,392264,1719794099999,154176.7433,783,210721,82837.6552,0
1719794100000,0.3937,0.3938,0.3931,0.3934,562417,1719794399999,221213.912,827,213537,83975.5166,0
1719794400000,0.3933,0.3939,0.3933,0.3933,452977,1719794699999,178313.4971,859,221884,87347.0818,0
1719794700000,0.3934,0.3936,0.3928,0.3928,530776,1719794999999,208789.7917,872,233523,91877.8493,0
1719795000000,0.3929,0.3931,0.3927,0.3929,382877,1719795299999,150424.4848,781,218572,85877.4018,0
1719795300000,0.393,0.3938,0.3929,0.3934,601682,1719795599999,236726.3239,750,342261,134646.5822,0
1719795600000,0.3934,0.3935,0.3926,0.3935,776912,1719795899999,305327.9287,1287,269909,106085.571,0
1719795900000,0.3935,0.3956,0.3934,0.395,4575745,1719796199999,1806343.6584,3803,2710847,1070159.2078,0
1719796200000,0.395,0.3973,0.3948,0.397,5092618,1719796499999,2018634.1465,5235,3011347,1193616.3707,0
1719796500000,0.397,0.3985,0.3963,0.3983,3392293,1719796799999,1348749.5117,3159,2138617,850416.3122,0
1719796800000,0.3983,0.3988,0.398,0.3985,1898474,1719797099999,756308.7241,1845,1092680,435333.4797,0
1719797100000,0.3986,0.3994,0.3978,0.3993,2179801,1719797399999,868975.4567,2296,1121935,447419.2086,0
1719797400000,0.3993,0.3999,0.399,0.3991,2460936,1719797699999,983282.6672,3204,1115848,445906.8457,0
1719797700000,0.3992,0.3994,0.3988,0.3991,909281,1719797999999,362881.1566,1317,387434,154625.9899,0
1719798000000,0.399,0.3992,0.3982,0.3987,1674180,1719798299999,667353.6572,2687,575668,229508.443,0
1719798300000,0.3987,0.3995,0.3983,0.3994,1392185,1719798599999,555220.4916,1361,641951,256021.3855,0
1719798600000,0.3993,0.3994,0.3987,0.3988,591934,1719798899999,236144.2961,873,105971,42281.0058,0
1719798900000,0.3988,0.3989,0.3984,0.3988,1283605,1719799199999,511735.899,1279,548851,218815.2191,0
1719799200000,0.3987,0.3996,0.3986,0.3989,1536710,1719799499999,613468.7589,2158,921202,367755.1297,0
1719799500000,0.3989,0.3999,0.3988,0.3996,1552381,1719799799999,620123.5133,1405,1024931,409423.4132,0
1719799800000,0.3997,0.3999,0.3978,0.399,2478275,1719800099999,988350.6753,2650,1159072,462243.0242,0
1719800100000,0.399,0.3999,0.3988,0.3997,1421396,1719800399999,567762.9142,1237,816792,326274.516,0
1719800400000,0.3998,0.4,0.3993,0.3995,1255416,1719800699999,501815.8904,1312,772865,308978.0929,0
1719800700000,0.3995,0.3997,0.3992,0.3993,787288,1719800999999,314437.027,1021,304479,121613.4787,0
1719801000000,0.3993,0.3994,0.3983,0.3985,1086418,1719801299999,433256.8192,1465,392712,156602.5226,0
1719801300000,0.3985,0.3989,0.3983,0.3987,690896,1719801599999,275411.8956,995,240080,95697.8406,0
1719801600000,0.3986,0.3995,0.3986,0.3994,961513,1719801899999,383743.1436,1332,594003,237069.671,0
1719801900000,0.3994,0.3995,0.3989,0.3992,783257,1719802199999,312667.6396,1285,316159,126218.0398,0
1719802200000,0.3992,0.3995,0.3988,0.3988,401117,1719802499999,160098.6864,932,188193,75121.5203,0
1719802500000,0.3989,0.3995,0.3979,0.3994,1349562,1719802799999,537764.7261,1452,535997,213625.4364,0
1719802800000,0.3994,0.3999,0.3991,0.3997,869946,1719803099999,347456.7174,1103,362878,144966.6658,0
1719803100000,0.3998,0.4,0.3996,0.3998,749738,1719803399999,299753.0853,954,274450,109743.9412,0
1719803400000,0.3999,0.4015,0.3998,0.4013,3969419,1719803699999,1590501.2896,3496,2479808,993500.9197,0
1719803700000,0.4014,0.4023,0.4009,0.402,4052698,1719803999999,1628113.6818,2870,2379003,955563.4581,0
1719804000000,0.4021,0.4021,0.4006,0.4011,1069995,1719804299999,429296.5948,1564,267184,107144.9698,0
1719804300000,0.4011,0.4011,0.4005,0.4007,814299,1719804599999,326299.192,973,270793,108520.2068,0
1719804600000,0.4007,0.4007,0.3997,0.3998,717118,1719804899999,287018.3699,1086,264172,105745.6295,0
1719804900000,0.3997,0.3998,0.399,0.3997,832731,1719805199999,332611.1758,1238,473743,189220.2577,0
1719805200000,0.3997,0.3999,0.3987,0.399,1725445,1719805499999,688872.4894,1429,431603,172222.1077,0
1719805500000,0.399,0.3996,0.3989,0.3996,845047,1719805799999,337363.2156,935,677287,270399.1631,0
1719805800000,0.3996,0.4,0.3994,0.3998,601320,1719806099999,240322.9942,862,412035,164686.5437,0
1719806100000,0.3999,0.3999,0.3994,0.3994,545509,1719806399999,218033.2855,885,133921,53537.8519,0
1719806400000,0.3995,0.3996,0.3993,0.3994,425583,1719806699999,169998.9192,804,188578,75341.9291,0
1719806700000,0.3994,0.4004,0.3992,0.4004,1192389,1719806999999,476542.0649,1109,835307,333882.262,0
1719807000000,0.4004,0.4004,0.3998,0.4002,405681,1719807299999,162303.3175,745,193256,77316.337,0
1719807300000,0.4002,0.4008,0.4001,0.4006,1394192,1719807599999,558341.1399,1151,483424,193610.2464,0
1719807600000,0.4006,0.4007,0.3997,0.3998,1527062,1719807899999,611094.2262,1348,461335,184611.9535,0
1719807900000,0.3998,0.4006,0.3995,0.3996,2927886,1719808199999,1170934.2614,1831,1504270,601662.2245,0
1719808200000,0.3995,0.4,0.3995,0.3996,950726,1719808499999,380030.0153,895,415155,165955.568,0
1719808500000,0.3996,0.3996,0.3988,0.3989,1096838,1719808799999,437767.8596,1114,287125,114598.8966,0
1719808800000,0.3989,0.3994,0.3989,0.3993,402894,1719809099999,160834.3389,653,230080,91845.9642,0
1719809100000,0.3993,0.3994,0.3992,0.3993,425732,1719809399999,169997.0799,477,268574,107247.609,0
1719809400000,0.3993,0.3996,0.3989,0.3993,593140,1719809699999,236758.0067,815,195943,78224.2605,0
1719809700000,0.3994,0.3995,0.3992,0.3994,574387,1719809999999,229374.2557,971,427298,170636.2272,0
1719810000000,0.3994,0.3994,0.3988,0.3989,658060,1719810299999,262615.181,1097,210991,84209.2897,0
1719810300000,0.3989,0.3993,0.3987,0.3992,1029879,1719810599999,410825.9438,904,413784,165094.219,0
1719810600000,0.3991,0.3993,0.3989,0.3991,434251,1719810899999,173322.4879,623,228027,91019.4269,0
1719810900000,0.3991,0.3994,0.3989,0.3994,696543,1719811199999,278051.0941,930,322944,128922.2987,0
1719811200000,0.3994,0.3999,0.3994,0.3997,1023344,1719811499999,409002.5759,876,727180,290638.4922,0
1719811500000,0.3996,0.3997,0.3989,0.3991,966218,1719811799999,385674.2257,1151,197225,78729.2289,0
1719811800000,0.3991,0.3991,0.3984,0.3984,2037201,1719812099999,812322.2326,1697,856806,341696.3481,0
1719812100000,0.3984,0.3986,0.3977,0.398,1677812,1719812399999,667835.7584,1605,454324,180859.2971,0
1719812400000,0.398,0.3983,0.3976,0.3977,1325697,1719812699999,527518.542,1252,556036,221289.0927,0
1719812700000,0.3976,0.398,0.3973,0.3975,986997,1719812999999,392487.9508,1093,541621,215413.8106,0
